ID	TARGET	TEXT	STANCE	CLEAN_SENTENCES	SEGMENT_SENTENCES
1	IphoneSE	3月31日，苹果iPhone SE正式开卖，然而这款小屏新机并未出现人们预想的疯抢局面。根据市场分析机构Localytics周一公布的数据，iPhone SE正式上市的这个周末，销量成绩并不算太好。	NONE	 月 日 苹果 正式开卖 然而这款小屏新机并未出现人们预想的疯抢局面 根据市场分析机构 周一公布的数据 正式上市的这个周末 销量成绩并不算太好 	月,日,苹果,正式,开,卖,然而,这款,小,屏,新机,并未,未出,出现,人们,预想,的,疯,抢,局面,根据,市场,分析,机构,周一,公布,的,数据,正式,上市,的,这个,周末,销量,量成,成绩,并,不算,太,好
2	IphoneSE	当时看到中国预定340万挺不相信，毕竟 6s ／ 6s Plus 全球首周末1300万。今天出乎所有人意料，iPhone SE 真的被（黄牛）低估了	FAVOR	当时看到中国预定 万挺不相信 毕竟 全球首周末 万 今天出乎所有人意料 真的被 黄牛 低估了	当时,看到,中国,预定,万,挺,不,相信,毕竟,全球,首,周末,万,今天,出乎,所有,所有人,有人,人意,意料,真的,被,黄牛,低估,了
3	IphoneSE	Phone SE，价格感人，但是看这外形，又可以拿着5s出去装逼了。	AGAINST	 价格感人 但是看这外形 又可以拿着 出去装逼了 	价格,感人,但是,看,这,外形,又,可以,拿,着,出去,装,逼,了
4	IphoneSE	iPhone SE官网已经要2-3周发货了，也真是一件神奇的事情……	AGAINST	 官网已经要 周发货了 也真是一件神奇的事情 	官,网,已经,要,周,发货,了,也,真是,一件,神奇,的,事情
5	IphoneSE	iPhone SE良心价的原因之一：内存只1GB？：如果真的这样，不知道会浇灭多少人马上掏钱购买的热情。	AGAINST	 良心价的原因之一 内存只 如果真的这样 不知道会浇灭多少人马上掏钱购买的热情 	良心,价,的,原因,因之,之一,内存,只,如果,果真,真的,这样,不知,知道,会,浇灭,多少,人马,马上,掏钱,购买,的,热情
6	IphoneSE	睡了。失望至极，iphone se和5外观几乎没有区别。只是把6s的配置装到了原本的iphone5s里，取消了3D Touch	AGAINST	睡了 失望至极 和 外观几乎没有区别 只是把 的配置装到了原本的 里 取消了 	睡,了,失望,至极,和,外观,几乎,没有,区别,只是,把,的,配置,置装,装到,了,原本,的,里,取消,了
7	IphoneSE	日前是国行iPhone SE正式发售第一天，很多预定用户拿到了iPhone SE新机。不过，不少网友吐槽，自己拿到的新机居然是黄屏的，“比旁边人的iPhone 5S还要黄”。从网友晒出的图片来看，iPhone SE屏幕部分区域明显发黄，尤其是屏幕的四边。	AGAINST	日前是国行 正式发售第一天 很多预定用户拿到了 新机 不过 不少网友吐槽 自己拿到的新机居然是黄屏的 比旁边人的 还要黄 从网友晒出的图片来看 屏幕部分区域明显发黄 尤其是屏幕的四边 	日前,是,国,行,正式,发售,第一,第一天,一天,很多,预定,用户,拿到,了,新机,不过,不少,网友,吐,槽,自己,拿到,的,新机,居然,是,黄,屏,的,比,旁边,人,的,还要,黄,从,网友,晒,出,的,图片,来看,屏幕,部分,分区,区域,明显,发黄,尤其,是,屏幕,的,四边
8	IphoneSE	iPhone SE的外观太让人失望了，也许价格会成吸引点吧	AGAINST	 的外观太让人失望了 也许价格会成吸引点吧	的,外观,太,让,人,失望,了,也许,价格,会,成,吸引,点,吧
9	IphoneSE	已经等不及想要去看看这款手机了	FAVOR	已经等不及想要去看看这款手机了	已经,等不及,不及,想要,去,看看,这款,手机,了
10	IphoneSE	黄屏门似乎一直没有回应？	AGAINST	黄屏门似乎一直没有回应 	黄,屏门,似乎,一直,没有,回应
