WORD	FAVOR	AGAINST	NONE	FREQ	SUPPORT
老百姓,禁	0	15	0	15	1.0
禁,老百姓	0	15	0	15	1.0
支持,交警	15	0	0	15	1.0
交警,支持	15	0	0	15	1.0
禁,生产	0	11	0	11	1.0
生产,禁	0	11	0	11	1.0
鼓励,生育	0	10	0	10	1.0
生育,鼓励	0	10	0	10	1.0
劳动力,劳动	0	10	0	10	1.0
劳动力,动力	0	10	0	10	1.0
劳动,劳动力	0	10	0	10	1.0
劳动,动力	0	10	0	10	1.0
动力,劳动力	0	10	0	10	1.0
动力,劳动	0	10	0	10	1.0
社会,百姓	0	9	0	9	1.0
看到,交警	9	0	0	9	1.0
百姓,社会	0	9	0	9	1.0
交警,看到	9	0	0	9	1.0
部门,环保	0	8	0	8	1.0
节日,喜欢	8	0	0	8	1.0
禁,权力	0	8	0	8	1.0
禁,当	0	8	0	8	1.0
禁,底层	0	8	0	8	1.0
禁,公民	0	8	0	8	1.0
环保,部门	0	8	0	8	1.0
汽车,政府	0	8	0	8	1.0
权力,禁	0	8	0	8	1.0
政府,汽车	0	8	0	8	1.0
操作,单手	8	0	0	8	1.0
当,禁	0	8	0	8	1.0
底层,禁	0	8	0	8	1.0
喜欢,节日	8	0	0	8	1.0
单手,操作	8	0	0	8	1.0
包,传统	8	0	0	8	1.0
公民,禁	0	8	0	8	1.0
倡议,今年	0	8	0	8	1.0
传统,包	8	0	0	8	1.0
今年,倡议	0	8	0	8	1.0
龙岗,交警	7	0	0	7	1.0
鼓励,计划生育	0	7	0	7	1.0
鼓励,计划	0	7	0	7	1.0
饺子,节日	7	0	0	7	1.0
饺子,传统节日	7	0	0	7	1.0
长春,避免	0	0	7	7	1.0
长春,申请	0	0	7	7	1.0
长春,生育	0	0	7	7	1.0
长春,根据	0	0	7	7	1.0
长春,时间表	0	0	7	7	1.0
长春,提前	0	0	7	7	1.0
长春,扎堆	0	0	7	7	1.0
长春,员工	0	0	7	7	1.0
长春,同一	0	0	7	7	1.0
长春,单位	0	0	7	7	1.0
铁站,交警	7	0	0	7	1.0
避免,长春	0	0	7	7	1.0
避免,申请	0	0	7	7	1.0
避免,生育	0	0	7	7	1.0
避免,根据	0	0	7	7	1.0
避免,时间表	0	0	7	7	1.0
避免,提前	0	0	7	7	1.0
避免,扎堆	0	0	7	7	1.0
避免,员工	0	0	7	7	1.0
避免,同一	0	0	7	7	1.0
避免,单位	0	0	7	7	1.0
贴,感受	7	0	0	7	1.0
计划生育,鼓励	0	7	0	7	1.0
计划,鼓励	0	7	0	7	1.0
觉得,喜欢	7	0	0	7	1.0
行车,社会	0	7	0	7	1.0
蓝天,环保	0	7	0	7	1.0
节日,饺子	7	0	0	7	1.0
自行车,社会	0	7	0	7	1.0
自行,社会	0	7	0	7	1.0
联合,环保	0	7	0	7	1.0
管理,政	0	7	0	7	1.0
社会,行车	0	7	0	7	1.0
社会,自行车	0	7	0	7	1.0
社会,自行	0	7	0	7	1.0
申请,长春	0	0	7	7	1.0
申请,避免	0	0	7	7	1.0
申请,生育	0	0	7	7	1.0
申请,根据	0	0	7	7	1.0
申请,时间表	0	0	7	7	1.0
申请,提前	0	0	7	7	1.0
申请,扎堆	0	0	7	7	1.0
申请,员工	0	0	7	7	1.0
申请,同一	0	0	7	7	1.0
申请,单位	0	0	7	7	1.0
生育,长春	0	0	7	7	1.0
生育,避免	0	0	7	7	1.0
生育,申请	0	0	7	7	1.0
生育,然后	0	7	0	7	1.0
生育,根据	0	0	7	7	1.0
生育,时间表	0	0	7	7	1.0
生育,提前	0	0	7	7	1.0
生育,扎堆	0	0	7	7	1.0
生育,员工	0	0	7	7	1.0
生育,同一	0	0	7	7	1.0
生育,单位	0	0	7	7	1.0
生存,环境	0	7	0	7	1.0
环境,生存	0	7	0	7	1.0
环保局,环保	0	7	0	7	1.0
环保,蓝天	0	7	0	7	1.0
环保,联合	0	7	0	7	1.0
环保,环保局	0	7	0	7	1.0
然后,生育	0	7	0	7	1.0
然后,人口	0	7	0	7	1.0
汽车,少	7	0	0	7	1.0
根据,长春	0	0	7	7	1.0
根据,避免	0	0	7	7	1.0
根据,申请	0	0	7	7	1.0
根据,生育	0	0	7	7	1.0
根据,时间表	0	0	7	7	1.0
根据,提前	0	0	7	7	1.0
根据,扎堆	0	0	7	7	1.0
根据,员工	0	0	7	7	1.0
根据,同一	0	0	7	7	1.0
根据,单位	0	0	7	7	1.0
时间表,长春	0	0	7	7	1.0
时间表,避免	0	0	7	7	1.0
时间表,申请	0	0	7	7	1.0
时间表,生育	0	0	7	7	1.0
时间表,根据	0	0	7	7	1.0
时间表,提前	0	0	7	7	1.0
时间表,扎堆	0	0	7	7	1.0
时间表,员工	0	0	7	7	1.0
时间表,同一	0	0	7	7	1.0
时间表,单位	0	0	7	7	1.0
政府,政	0	7	0	7	1.0
政,管理	0	7	0	7	1.0
政,政府	0	7	0	7	1.0
操作,单手操作	7	0	0	7	1.0
提前,长春	0	0	7	7	1.0
提前,避免	0	0	7	7	1.0
提前,申请	0	0	7	7	1.0
提前,生育	0	0	7	7	1.0
提前,根据	0	0	7	7	1.0
提前,时间表	0	0	7	7	1.0
提前,扎堆	0	0	7	7	1.0
提前,员工	0	0	7	7	1.0
提前,同一	0	0	7	7	1.0
提前,单位	0	0	7	7	1.0
扎堆,长春	0	0	7	7	1.0
扎堆,避免	0	0	7	7	1.0
扎堆,申请	0	0	7	7	1.0
扎堆,生育	0	0	7	7	1.0
扎堆,根据	0	0	7	7	1.0
扎堆,时间表	0	0	7	7	1.0
扎堆,提前	0	0	7	7	1.0
扎堆,员工	0	0	7	7	1.0
扎堆,同一	0	0	7	7	1.0
扎堆,单位	0	0	7	7	1.0
感受,贴	7	0	0	7	1.0
少,汽车	7	0	0	7	1.0
地铁站,交警	7	0	0	7	1.0
喜欢,觉得	7	0	0	7	1.0
员工,长春	0	0	7	7	1.0
员工,避免	0	0	7	7	1.0
员工,申请	0	0	7	7	1.0
员工,生育	0	0	7	7	1.0
员工,根据	0	0	7	7	1.0
员工,时间表	0	0	7	7	1.0
员工,提前	0	0	7	7	1.0
员工,扎堆	0	0	7	7	1.0
员工,同一	0	0	7	7	1.0
员工,单位	0	0	7	7	1.0
同一,长春	0	0	7	7	1.0
同一,避免	0	0	7	7	1.0
同一,申请	0	0	7	7	1.0
同一,生育	0	0	7	7	1.0
同一,根据	0	0	7	7	1.0
同一,时间表	0	0	7	7	1.0
同一,提前	0	0	7	7	1.0
同一,扎堆	0	0	7	7	1.0
同一,员工	0	0	7	7	1.0
同一,单位	0	0	7	7	1.0
单手操作,操作	7	0	0	7	1.0
单手操作,单手	7	0	0	7	1.0
单手,单手操作	7	0	0	7	1.0
单位,长春	0	0	7	7	1.0
单位,避免	0	0	7	7	1.0
单位,申请	0	0	7	7	1.0
单位,生育	0	0	7	7	1.0
单位,根据	0	0	7	7	1.0
单位,时间表	0	0	7	7	1.0
单位,提前	0	0	7	7	1.0
单位,扎堆	0	0	7	7	1.0
单位,员工	0	0	7	7	1.0
单位,同一	0	0	7	7	1.0
倡议,今年春节	0	7	0	7	1.0
传统节日,饺子	7	0	0	7	1.0
今年春节,倡议	0	7	0	7	1.0
人口,然后	0	7	0	7	1.0
交警,龙岗	7	0	0	7	1.0
交警,铁站	7	0	0	7	1.0
交警,地铁站	7	0	0	7	1.0
龙岗,禁	6	0	0	6	1.0
鼓励,然后	0	6	0	6	1.0
鼓励,人口	0	6	0	6	1.0
鞭炮声,少	0	6	0	6	1.0
靠,禁	0	6	0	6	1.0
霾,产生	0	6	0	6	1.0
部门,少	0	6	0	6	1.0
那,只能	0	6	0	6	1.0
逼,政府	0	6	0	6	1.0
通工,管理	0	6	0	6	1.0
逆行,交警	6	0	0	6	1.0
送,社会	0	6	0	6	1.0
载客,交警	6	0	0	6	1.0
起,燃放	0	6	0	6	1.0
起,少	0	6	0	6	1.0
贴,春晚	6	0	0	6	1.0
解决问题,解决	0	6	0	6	1.0
解决,解决问题	0	6	0	6	1.0
解决,百姓	0	6	0	6	1.0
节日,文化	6	0	0	6	1.0
老百姓,社会	0	6	0	6	1.0
组织,恐怖分子	6	0	0	6	1.0
管理,通工	0	6	0	6	1.0
管理,工具	0	6	0	6	1.0
