ID	TARGET	TEXT	CLEAN_SENTENCES	SEGMENT_SENTENCES
1	IphoneSE	【苹果iPhone SE评测：除了5S的外观 其他完美】老实说，在刚拿到这款小苹果的时候，还以为自己穿越了：这货并没有如发布会之前曝光的那样，沿用iPhone 6的模样，而复刻了2013年版的iPhone 5S。如果你想要炫耀新品iPhone手机，这逼可没法儿装。 |苹果iPhone...	 苹果 评测 除了 的外观 其他完美 老实说 在刚拿到这款小苹果的时候 还以为自己穿越了 这货并没有如发布会之前曝光的那样 沿用 的模样 而复刻了 年版的 如果你想要炫耀新品 手机 这逼可没法儿装 苹果 	苹果,评测,除了,的,外观,其他,完美,老实,实说,在,刚,拿到,这款,小苹果,苹果,的,时候,还以,以为,自己,穿越,了,这,货,并,没有,有如,发布,发布会,之前,曝光,的,那样,沿用,的,模样,而复,复刻,了,年,版,的,如果,你,想要,炫耀,新品,手机,这,逼,可,没法,没法儿,法儿,装,苹果
2	IphoneSE	【关于iPhone SE你应该知道的20件事】虽然iPhone SE一发布就争论不休，但是也挡不住喜爱它的人对它的购买欲望。观望中或者已经入手？来看看关于iPhone SE你应该知道的20件事？http://t.cn/RqqrIXj	 关于 你应该知道的 件事 虽然 一发布就争论不休 但是也挡不住喜爱它的人对它的购买欲望 观望中或者已经入手 来看看关于 你应该知道的 件事 	关于,你,应该,知道,的,件,事,虽然,一发,发布,就,争论,争论不休,不休,但是,也,挡不住,不住,喜爱,它,的,人,对,它,的,购买,购买欲,欲望,观望,中,或者,已经,入手,来看,看看,关于,你,应该,知道,的,件,事
3	IphoneSE	用一块秒杀上代旗舰的CPU，一个老旧的外形设计，加上一个烂屏幕，卖旗舰五分之三的价格，这就是红米note3和iphone se。	用一块秒杀上代旗舰的 一个老旧的外形设计 加上一个烂屏幕 卖旗舰五分之三的价格 这就是红米 和 	用,一块,秒杀,上代,代旗,旗舰,的,一个,老,旧,的,外形,设计,加上,一个,烂,屏幕,卖,旗舰,五分,之三,的,价格,这,就是,红,米,和
4	IphoneSE	下一个活动可能是3000现金 或者 iPhone se 宝宝们更喜欢哪种呢	下一个活动可能是 现金 或者 宝宝们更喜欢哪种呢	下,一个,活动,可能,是,现金,或者,宝宝,们,更,喜欢,哪种,呢
5	IphoneSE	【玫瑰金不能再赞：9.7吋iPad Pro开箱图赏】今天是iPhone SE和9.7吋iPad Pro首发的日子，相信不少童鞋已经剁剁剁了。小尺寸iPad Pro引入True Tone仿色屏，可以模拟外界光线的颜色。搭载A9X核心，相较12.9吋内存缩水为2GB，配备iPhone 6s同款1200W镜头，四个扬声器堪称广场舞神器。http://t.cn/RqwFfEi	 玫瑰金不能再赞 吋 开箱图赏 今天是 和 吋 首发的日子 相信不少童鞋已经剁剁剁了 小尺寸 引入 仿色屏 可以模拟外界光线的颜色 搭载 核心 相较 吋内存缩水为 配备 同款 镜头 四个扬声器堪称广场舞神器 	玫瑰,金,不能,再,赞,吋,开箱,图,赏,今天,是,和,吋,首发,的,日子,相信,不少,童鞋,已经,剁,剁,剁,了,小,尺寸,引入,仿,色,屏,可以,模拟,外界,光线,的,颜色,搭载,核心,相较,吋,内存,缩水,为,配备,同,款,镜头,四个,扬声,扬声器,堪称,广场,舞,神器
6	IphoneSE	又来了～传iPhone SE爆芯片门，去年底吵得不可开交的苹果i6s芯片门事件，如今iPhone SE的处理器竟也有2种版本，市场传出开发者研究硬体数据发现，iPhone SE有2种不同代号，几乎可以确认就是台积电和三星等2家。开发者研究iPhone SE相关硬体数据文件发现，处理器有S8003和S8000这2种不同代号	又来了 传 爆芯片门 去年底吵得不可开交的苹果 芯片门事件 如今 的处理器竟也有 种版本 市场传出开发者研究硬体数据发现 有 种不同代号 几乎可以确认就是台积电和三星等 家 开发者研究 相关硬体数据文件发现 处理器有 和 这 种不同代号	又,来,了,传,爆,芯片,片门,去年,去年底,年底,吵,得,不可,不可开交,开交,的,苹果,芯片,片门,事件,如今,的,处理,处理器,理器,竟,也,有,种,版本,市场,传出,开发,开发者,研究,硬体,数据,发现,有,种,不同,代号,几乎,可以,确认,就是,台,积,电,和,三星,星等,家,开发,开发者,研究,相关,硬体,数据,数据文件,文件,发现,处理,处理器,理器,有,和,这,种,不同,代号
7	IphoneSE	比6快，比6s少个压感屏。喜欢小屏幕手机就买了吧。	比 快 比 少个压感屏 喜欢小屏幕手机就买了吧 	比,快,比,少,个,压感,屏,喜欢,小,屏幕,手机,就,买,了,吧
8	IphoneSE	iphone se 最低2100元 全网通	 最低 元 全网通	最低,元,全网,网通
9	IphoneSE	本来想临睡前看个薛之谦的段子开心开心 毫无防备的手机竟然自动重启了遍 看来要换Iphone se了	本来想临睡前看个薛之谦的段子开心开心 毫无防备的手机竟然自动重启了遍 看来要换 了	本来,想,临睡,临睡前,看,个,薛,之,谦,的,段子,开心,开心,毫无,无防备,防备,的,手机,竟然,自动,重启,了,遍,看来,要,换,了
10	IphoneSE	【苹果iPhone SE官方拍照样张发布】相信不少人对这款小身材手机的拍照表现感兴趣，现在苹果官网放出了iPhone SE的拍照样张。不过官方样张嘛，你懂得。相信接下来第一时间拿到真机的外媒也会分享关于这款手机更多的信息。……详情点击：http://t.cn/RGkINrv	 苹果 官方拍照样张发布 相信不少人对这款小身材手机的拍照表现感兴趣 现在苹果官网放出了 的拍照样张 不过官方样张嘛 你懂得 相信接下来第一时间拿到真机的外媒也会分享关于这款手机更多的信息 详情点击 	苹果,官方,拍照,照样,样张,发布,相信,不少,人,对,这款,小,身材,手机,的,拍照,照表,表现,感兴,感兴趣,兴趣,现在,苹果,官,网,放出,了,的,拍照,照样,样张,不过,官方,样张,嘛,你,懂得,相信,接下,接下来,下来,第一,一时,一时间,时间,拿到,真,机,的,外,媒,也,会分,分享,关于,这款,手机,更多,的,信息,详情,点击
11	IphoneSE	iphone，4就开始是16g的了，从未出现过不够用的情况！除了当你买了一台三星的16g，开始后可用只有8g才觉得不够用	 就开始是 的了 从未出现过不够用的情况 除了当你买了一台三星的 开始后可用只有 才觉得不够用	就,开始,是,的,了,从未,未出,出现,过,不够,够用,的,情况,除了,当,你,买,了,一台,三星,的,开始,后,可用,只有,才,觉得,不够,够用
12	IphoneSE	【记者调查发现：只要60元 iPhone5S可秒变SE】iPhoneSE与5S外观最大区别在于后壳字样。“只要半小时就能‘变身’。”在福州大利嘉开店多年的小陈告诉记者，他做过实验，利用镭射技术，只需几十元就可以任意更改手机后壳上的字样。http://t.cn/RqAKRTg	 记者调查发现 只要 元 可秒变 与 外观最大区别在于后壳字样 只要半小时就能 变身 在福州大利嘉开店多年的小陈告诉记者 他做过实验 利用镭射技术 只需几十元就可以任意更改手机后壳上的字样 	记者,调查,发现,只要,元,可,秒,变,与,外观,最大,大区,区别,在于,后,壳,字样,只要,半小时,小时,就,能,变身,在,福州,大利,嘉,开店,多年,的,小,陈,告诉,记者,他,做,过,实验,利用,镭射,技术,只,需,几十,几十元,十元,就,可以,任意,更改,手机,后,壳,上,的,字样
13	IphoneSE	0424。六点多自然醒。七点多吃早餐，出发考场。中午老同学请吃饭，和他女朋友一起吃猪肚鸡[馋嘴]下午回程车陂停留一下，遇到夹公仔高人，夹到两个大型公仔，让我对夹公仔有了新感悟，高投资，高风险。看iphone SE，手感不错。芋圆糖水，难吃，差评，不热，混水的感觉[拜拜]四月告一段落。计划，前行。	 六点多自然醒 七点多吃早餐 出发考场 中午老同学请吃饭 和他女朋友一起吃猪肚鸡 馋嘴 下午回程车陂停留一下 遇到夹公仔高人 夹到两个大型公仔 让我对夹公仔有了新感悟 高投资 高风险 看 手感不错 芋圆糖水 难吃 差评 不热 混水的感觉 拜拜 四月告一段落 计划 前行 	六点,多,自然,醒,七点,多,吃,早餐,出发,考场,中午,老同学,同学,请吃,吃饭,和,他,女朋友,朋友,一起,吃,猪肚,鸡,馋嘴,下午,回程,车,陂,停留,一下,遇到,夹,公仔,高,人,夹到,两个,大型,公仔,让,我,对,夹,公仔,有,了,新,感悟,高,投资,高风险,风险,看,手感,不错,芋,圆,糖水,难吃,差,评,不,热,混水,的,感觉,拜拜,四月,告一段落,一段,一段落,段落,计划,前行
14	IphoneSE	最近才买了新的5s? 你可以免费换iPhone SE：当然，前提是你在苹果官网买的，而且收到货的时间不能超过14天。http://t.cn/RqPwCF9	最近才买了新的 你可以免费换 当然 前提是你在苹果官网买的 而且收到货的时间不能超过 天 	最近,才,买,了,新,的,你,可以,以免,以免费,免费,换,当然,前提,是,你,在,苹果,官,网,买,的,而且,收到,到货,的,时间,不能,超过,天
15	IphoneSE	苹果在向着小屏进发，小米却向着大屏迈进。iphone SE和小米Max，你会买哪个？	苹果在向着小屏进发 小米却向着大屏迈进 和小米 你会买哪个 	苹果,果在,向着,小,屏,进发,小米,却,向着,大,屏,迈进,和,小米,你,会,买,哪个
16	IphoneSE	今儿个把32G的5s拿去 apple store 折了加钱换了SE， 每个人对手机需求不同！就喜欢能随时塞兜里，还能拿的住的拍照！ 再想想，也许下一部我手里的iphone用得螺丝可能是这部5s去renew的，也是蛮cool的事情，它又去重生了！ 西单大悦城31日最后一部64G的SE被我买走了，这是何等的幸运！	今儿个把 的 拿去 折了加钱换了 每个人对手机需求不同 就喜欢能随时塞兜里 还能拿的住的拍照 再想想 也许下一部我手里的 用得螺丝可能是这部 去 的 也是蛮 的事情 它又去重生了 西单大悦城 日最后一部 的 被我买走了 这是何等的幸运 	今儿,今儿个,把,的,拿,去,折,了,加钱,换,了,每个,个人,对手,手机,需求,不同,就,喜欢,能,随时,塞,兜里,还,能,拿,的,住,的,拍照,再,想想,也许,许下,一部,我,手里,的,用得,螺丝,可能,是,这部,去,的,也,是,蛮,的,事情,它,又,去,重生,了,西单,大悦,城,日,最后,一部,的,被,我,买,走,了,这,是,何等,的,幸运
17	IphoneSE	【买了 iPhone SE，还能用蓝牙畅快地打电话吗？】新手机上市基本上都有 Bug 混杂其中，我们已经习以为常了。 http://t.cn/RqxwI2W	 买了 还能用蓝牙畅快地打电话吗 新手机上市基本上都有 混杂其中 我们已经习以为常了 	买,了,还,能用,蓝牙,畅快,地,打电话,电话,吗,新手,新手机,手机,机上,上市,基本,基本上,都,有,混杂,其中,我们,已经,习以为常,以为,常,了
18	IphoneSE	妈妈说想换个手机，作为孝顺女儿，给妈妈定了一个iPhone se ,结果妈妈说，女儿用新的苹果，妈妈就用你那台旧的好了！真是好妈妈。。。。。。。可我明明就舍不得我64G的6plus啊～	妈妈说想换个手机 作为孝顺女儿 给妈妈定了一个 结果妈妈说 女儿用新的苹果 妈妈就用你那台旧的好了 真是好妈妈 可我明明就舍不得我 的 啊 	妈妈,说,想,换,个,手机,作为,孝顺,女儿,给,妈妈,定,了,一个,结果,妈妈,说,女儿,用,新,的,苹果,妈妈,就,用,你,那,台,旧,的,好,了,真是,好,妈妈,可,我,明明,就,舍不得,不得,我,的,啊
19	IphoneSE	想的好长远，性能se好点，女生5se应该够用，se的话你要能接受黄屏→_→	想的好长远 性能 好点 女生 应该够用 的话你要能接受黄屏 	想,的,好,长远,性能,好,点,女生,应该,够用,的话,你,要能,接受,黄,屏
20	IphoneSE	猫瞳反馈💕入手iphone se犒劳自己 已经数不清有多少个宝宝靠自己换爱疯换包包换鞋的 不敢说这份兼只能让你一夜暴富 但是改变现状 买自己喜欢的东西就绝对没问题	猫瞳反馈 入手 犒劳自己 已经数不清有多少个宝宝靠自己换爱疯换包包换鞋的 不敢说这份兼只能让你一夜暴富 但是改变现状 买自己喜欢的东西就绝对没问题	猫,瞳,反馈,入手,犒劳,自己,已经,数不清,有,多少,个,宝宝,靠,自己,换,爱,疯,换包,包包,包换,换鞋,的,不敢,说,这份,兼,只能,让,你,一夜,暴富,但是,改变,改变现状,变现,现状,买,自己,喜欢,的,东西,就,绝对,没,问题
21	IphoneSE	真的竟然有人买iPhone SE	真的竟然有人买 	真的,竟然,有人,买
22	IphoneSE	剛於香港凌晨舉行的Apple發佈會，執行長TIM COOK先從環保、健康兩大人類關注的議題入手，推崇循環再用、回收計劃，以及為用戶的健康製作了一眾Apps。接著便為各支持者帶來tvOS、iOS更新的介紹，至於新產品則有Apple Watch的尼龍錶帶、4吋iPhone SE和9.7吋iPad Pro。Apple Watch的織製尼龍錶帶備有多款	剛於香港凌晨舉行的 發佈會 執行長 先從環保 健康兩大人類關注的議題入手 推崇循環再用 回收計劃 以及為用戶的健康製作了一眾 接著便為各支持者帶來 更新的介紹 至於新產品則有 的尼龍錶帶 吋 和 吋 的織製尼龍錶帶備有多款	剛,於,香港,凌晨,舉,行,的,發,佈,會,執,行,長,先,從,環,保,健康,兩,大人,類,關,注,的,議,題,入手,推崇,循,環,再,用,回收,計,劃,以及,為,用,戶,的,健康,製,作,了,一,眾,接,著,便,為,各,支持,支持者,帶,來,更新,的,介,紹,至於,新,產,品,則,有,的,尼,龍,錶,帶,吋,和,吋,的,織,製,尼,龍,錶,帶,備,有,多款
